url,filename,test
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wild_flounder_lunch.jpg?sfvrsn=2,seaside_shrimp_trio.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wood_grilled_shrimp_skewers_can.jpg?sfvrsn=2,parmesan_crusted_tilapia.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/new!-lobsterfest-surf-turf.png?sfvrsn=0,bg.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/m_lh_garlicgrilledshrimp.jpg?sfvrsn=2,roasted-green-beans-with-mushrooms.png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/news-press/media-downloads/Teasers/4sweetchilishrimp_crave_582.png?sfvrsn=0,big-festival-of-shrimp-teaser.png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/seaside_shrimp_trio.jpg?sfvrsn=2,sweet_chili_shrimp.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/kids/kids_garlic_grilled_shrimp.jpg?sfvrsn=2,hand_breaded_shrimp.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/roasted-carrots-and-butternut-squash-with-bourbon-brown-butter.png?sfvrsn=0,wood_grilled_skewers_shrimp.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/parmesan_crusted_tilapia.jpg?sfvrsn=2,wild-flounder--dinner.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/events/summerfest/bg.jpg?sfvrsn=2,ny_strip_and_lobster_tail.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/roasted-green-beans-with-mushrooms.png?sfvrsn=0,imagecomingsoon.jpg,Status=Master&sfvrsn=4
https://www.redlobster.com/images/default-source/images/events/big-festival-of-shrimp/big-festival-of-shrimp-teaser.png?sfvrsn=0,imagecomingsoon.jpg,sfvrsn=4
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/sweet_chili_shrimp.jpg?sfvrsn=2,maple_glazed_chicken.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/hand_breaded_shrimp.jpg?sfvrsn=2,walts_favorite_shrimp.jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wood_grilled_skewers_shrimp.jpg?sfvrsn=2,kids_chicken_fingers_ketchup.jpg,sfvrsn=2
