url,,Status-Code,Status-Text,Type,Size,Title,Date,Level,name,type,,,extra,Links In,Server,Error,Duration,Charset,Description
https://www.redlobster.ca/locations,,200,ok,text/html,53500,Locations | Red Lobster Seafood Restaurants,,1,57,,,,,169,Microsoft-IIS/8.5,,00:00.7,utf-8,
https://www.redlobster.ca/menus/todays-fresh-fish,,200,ok,text/html,59988,Today&#39;s Fresh Fish | Red Lobster Seafood Restaurants,,1,60,,,,,169,Microsoft-IIS/8.5,,00:00.7,utf-8,Learn about fresh fish specials with fish flown in daily to your local Red Lobster.
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/grilledchicken_kidsentree_must_265_r2.jpg?sfvrsn=2,https:,,www.redlobster.ca,images,default-source,images,menu-items,lunch-dinner,grilledchicken_kidsentree_must_265_r2,jpg,,,sfvrsn=2,,,,00:01.8,utf-8,
https://www.redlobster.ca/menus/lunch,https:,,www.redlobster.ca,menus,lunch,,,,,,,,,,Microsoft-IIS/8.5,,00:01.0,utf-8,"Check out our lunch seafood appetizers, entrees and lunch specials."
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/chickenbreaststrips_cn_145_r2.jpg?sfvrsn=2,https:,,www.redlobster.ca,images,default-source,images,menu-items,lunch-dinner,chickenbreaststrips_cn_145_r2,jpg,,,sfvrsn=2,,,,00:02.2,utf-8,
https://www.redlobster.ca/menus/dinner,https:,,www.redlobster.ca,menus,dinner,,,,,,,,,,Microsoft-IIS/8.5,,00:03.1,utf-8,Browse our dinner menu to see what seafood appetizers and entrees we’re cooking up at a Red Lobster location near you.
https://www.redlobster.ca/images/default-source/images/news-press/wood_grilled_shrimp_salmon_lobster.jpg?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,images,news-press,wood_grilled_shrimp_salmon_lobster.jpg?sfvrsn=0,wood_grilled_shrimp_salmon_lobster,jpg,,,sfvrsn=0,,,,00:02.1,utf-8,
https://www.redlobster.ca/menus/lighter-fare,https:,,www.redlobster.ca,menus,lighter-fare,,,,,,,,,,Microsoft-IIS/8.5,,00:02.6,utf-8,Check out the Red Lobster Lighter Fare menu for delicious and healthy seafood menu selections.
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/4coursefeast.jpg?sfvrsn=2,https:,,www.redlobster.ca,images,default-source,images,menu-items,lunch-dinner,4coursefeast,jpg,,,sfvrsn=2,,,,00:02.2,utf-8,
https://www.redlobster.ca/menus/kids,https:,,www.redlobster.ca,menus,kids,,,,,,,,,,Microsoft-IIS/8.5,,00:01.0,utf-8,See the Red Lobster Kids Menu. All kids meals come with 1% milk and your choice of orange wedges or broccoli.
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/sailors-platter.jpg?sfvrsn=2,https:,,www.redlobster.ca,images,default-source,images,menu-items,lunch-dinner,sailors-platter,jpg,,,sfvrsn=2,,,,00:01.9,utf-8,
https://www.redlobster.ca/specials,https:,,www.redlobster.ca,specials,,,,,,,,,,,Microsoft-IIS/8.5,,00:01.1,utf-8,Learn more about the seafood specials on our seasonal events and special promotions menu.
https://www.redlobster.ca/seafood-with-standards,https:,,www.redlobster.ca,seafood-with-standards,,,,,,,,,,,Microsoft-IIS/8.5,,00:01.0,utf-8,Red Lobster takes pride in protecting the sea and its bounty of fresh fish and shellfish. Read more about our pledge to serving only the best seafood with standards.
https://www.redlobster.ca/gift-cards,https:,,www.redlobster.ca,gift-cards,,,,,,,,,,,Microsoft-IIS/8.5,,00:03.4,utf-8,A Red Lobster gift card is perfect for any occasion.
https://www.redlobster.ca/fresh-catch-club,https:,,www.redlobster.ca,fresh-catch-club,,,,,,,,,,,Microsoft-IIS/8.5,,00:01.4,utf-8,"Interested in learning more about the Fresh Catch Club? Delicious deals, fresh news and insider invites are coming your way."
javascript:void(0),javascript:void(0),,,,,,,,,,,,,,,,00:00.0,utf-8,
https://www.redlobster.ca/menus/lunch/lobster-lovers-lunch,https:,,www.redlobster.ca,menus,lunch,lobster-lovers-lunch,,,,,,,,,Microsoft-IIS/8.5,,00:01.2,utf-8,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/crispy-shrimp-lettuce-wrap.jpg?sfvrsn=2,https:,,www.redlobster.ca,images,default-source,images,menu-items,lunch-dinner,crispy-shrimp-lettuce-wrap,jpg,,,sfvrsn=2,,,,00:02.2,utf-8,
https://www.redlobster.ca/images/default-source/Headers/shrimp.png?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,Headers,shrimp.png?sfvrsn=0,,shrimp,png,,,sfvrsn=0,,Microsoft-IIS/8.5,,00:02.2,utf-8,
https://www.redlobster.ca/images/default-source/Headers/lunch-item-detail-page-header_1800x614.jpg?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,Headers,lunch-item-detail-page-header_1800x614.jpg?sfvrsn=0,,lunch-item-detail-page-header_1800x614,jpg,,,sfvrsn=0,,,,00:02.2,utf-8,
https://www.redlobster.ca/images/default-source/Headers/hsc2.png?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,Headers,hsc2.png?sfvrsn=0,,hsc2,png,,,sfvrsn=0,,Microsoft-IIS/8.5,,00:02.6,utf-8,
https://www.redlobster.ca/images/default-source/Headers/lll1.png?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,Headers,lll1.png?sfvrsn=0,,lll1,png,,,sfvrsn=0,,Microsoft-IIS/8.5,,00:02.3,utf-8,
https://www.redlobster.ca/images/default-source/Headers/hsc1.png?sfvrsn=0,https:,,www.redlobster.ca,images,default-source,Headers,hsc1.png?sfvrsn=0,,hsc1,png,,,sfvrsn=0,,Microsoft-IIS/8.5,,00:02.5,utf-8,
http://www.google.com/chrome/browser/desktop/,http:,,www.google.com,chrome,browser,desktop,,,,,,,,,sffe,,00:00.0,utf-8,
http://www.apple.com/safari/,http:,,www.apple.com,safari,,,,,,,,,,,Apache,,00:00.2,utf-8,
http://www.mozilla.org/en-US/firefox/new/,http:,,www.mozilla.org,en-US,firefox,new,,,,,,,,,cloudflare-nginx,,00:00.3,utf-8,
http://windows.microsoft.com/en-us/internet-explorer/download-ie,http:,,windows.microsoft.com,en-us,internet-explorer,download-ie,,,,,,,,,AkamaiGHost,,00:00.9,utf-8,
https://www.redlobster.ca/our-story,https:,,www.redlobster.ca,our-story,,,,,,,,,,,Microsoft-IIS/8.5,,00:02.1,utf-8,Red Lobster is one of the premier seafood restaurants in the country. Read more about our journey to becoming one of America’s most beloved restaurants.
https://www.redlobster.ca/rl-in-the-community,https:,,www.redlobster.ca,rl-in-the-community,,,,,,,,,,,Microsoft-IIS/8.5,,00:02.3,utf-8,
https://www.redlobster.ca/faq,https:,,www.redlobster.ca,faq,,,,,,,,,,,Microsoft-IIS/8.5,,00:01.2,utf-8,Satisfy your curiosity with these popular Red Lobster-related questions. You&#39;ll get answers to many frequently asked questions here.
https://www.redlobster.ca/docs/default-source/pdfs/CANADA-NUTRITION-3-6-17_Lobsterfest.pdf,https:,,www.redlobster.ca,docs,default-source,pdfs,CANADA-NUTRITION-3-6-17_Lobsterfest.pdf,,,,,,,,Microsoft-IIS/8.5,,00:01.4,utf-8,
https://www.redlobster.ca/docs/default-source/pdfs/cn-allergen-final-guide-fy17-lobsterfest.pdf?sfvrsn=2,https:,,www.redlobster.ca,docs,default-source,pdfs,cn-allergen-final-guide-fy17-lobsterfest.pdf?sfvrsn=2,,,,,,,,,,00:02.5,utf-8,
http://redlobster.careers/,http:,,redlobster.careers,,,,,,,,,,,,,,00:00.8,iso-8859-1,
https://www.redlobster.ca/news-press,https:,,www.redlobster.ca,news-press,,,,,,,,,,,Microsoft-IIS/8.5,,00:02.1,utf-8,Stay up to date on what&#39;s happening at Red Lobster by reading our news and press releases.
https://www.redlobster.ca/international-franchises,https:,,www.redlobster.ca,international-franchises,,,,,,,,,,,Microsoft-IIS/8.5,,00:02.7,utf-8,
https://www.redlobster.ca/become-a-supplier,https:,,www.redlobster.ca,become-a-supplier,,,,,,,,,,,Microsoft-IIS/8.5,,00:02.3,utf-8,"Here at Red Lobster, a diverse supply chain is the secret to our success. For more information on what we look for and how to become a supplier click here."
https://www.redlobster.ca/contact-us,https:,,www.redlobster.ca,contact-us,,,,,,,,,,,Microsoft-IIS/8.5,,00:01.6,utf-8,Contact Red Lobster and get the help you need via email or our phone number.
https://www.facebook.com/redlobster,https:,,www.facebook.com,redlobster,,,,,,,,,,,,,00:00.4,utf-8,
https://twitter.com/redlobster,https:,,twitter.com,redlobster,,,,,,,,,,,tsa_b,,00:00.7,utf-8,
https://www.instagram.com/redlobster/,https:,,www.instagram.com,redlobster,,,,,,,,,,,,,00:00.6,utf-8,
https://www.redlobster.com/,https:,,www.redlobster.com,,,,,,,,,,,,Microsoft-IIS/8.5,,00:00.3,utf-8,
https://www.redlobster.ca/terms-conditions,https:,,www.redlobster.ca,terms-conditions,,,,,,,,,,,Microsoft-IIS/8.5,,00:02.0,utf-8,View the legal terms and conditions for Red Lobster.
https://www.redlobster.ca/privacy-policy,https:,,www.redlobster.ca,privacy-policy,,,,,,,,,,,Microsoft-IIS/8.5,,00:02.0,utf-8,How Red Lobster protects your privacy rights when you visit our website.
https://maps.googleapis.com/maps/api/js?client=gme-redlobster&v=3.23&libraries=geometry,https:,,maps.googleapis.com,maps,api,js?client=gme-redlobster&v=3.23&libraries=geometry,,,,,,,,,mafe,,00:00.6,utf-8,
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/js/app.f82a03f5.js,https:,,www.redlobster.ca,ResourcePackages,RedLobster,assets,dist,js,app,f82a03f5,js,,,,,,00:00.8,utf-8,
"data:image/svg+xml;utf8,<svg xmlns="http://www.w3.org/2000/svg" version="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0 32,0 16,24" style="fill: rgb%2851, 51, 51%29"></polygon></svg>""ata:image/svg+xml;utf8,<svg xmlns="http://www.w3.org/2000/svg" version="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0 32,0 16,24" style="fill: rg""ta:image/svg+xml;utf8,<svg xmlns="http://www.w3.org/2000/svg" version="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon point""a:image/svg+xml;utf8,<svg xmlns="http://www.w3.org/2000/svg" version="1.1" width="32" height="24" v"":image/svg+xml;utf8,<svg xmlns="http://www.w3.org/2000/svg" versio""image/svg+xml;utf8,<svg xmlns="htt""mag",data:image,"svg+xml;utf8,<svg xmlns="http:""vg+xm",,www.w3.org,2000,"svg" version="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0 32,0 16,24" style="fill: rgb%2851, 51, 51%29"><""vg" version="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0 32,0 16,24" style="fill: rgb%2851, 51, 51%29""g" version="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0 32,0 16,24" style="fill: rgb%2851, 51, 51%""" version="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0 32,0 16,24" style="fill: rgb%2851, 51, 51"" version="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0 32,0 16,24" style="fill: rgb%2851, 51, 51""version="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0 32,0 16,24" style="fill: rgb%285""ersion="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0 32,0 16,24" style="fill:""rsion="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0 32,0 16,24" style""sion="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0 32,0 16,24"""ion="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0 32,0 1""on="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0 32""n="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0,0""="1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="0"""1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points="""1.1" width="32" height="24" viewBox="0 0 32 24"><polygon points=""".1" width="32" height="24" viewBox="0 0 32 24"><polygon point""1" width="32" height="24" viewBox="0 0 32 24"><polygon poi""" width="32" height="24" viewBox="0 0 32 24"><polygon po"" width="32" height="24" viewBox="0 0 32 24"><polygon po""width="32" height="24" viewBox="0 0 32 24"><pol""idth="32" height="24" viewBox="0 0 32 24""dth="32" height="24" viewBox="0 0 ""th="32" height="24" viewBox="""h="32" height="24" viewBo""="32" height="24" view"""32" height="24" vie""32" height="24" vie""2" height="24" v""" height="24" "" height="24" ""heig",polygon><,svg>,,,,,,,,,00:00.0,,
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACAAAAAYCAYAAACbU/80AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAIpJREFUeNrEkckNgDAMBBfRkEt0ObRBBdsGXUDgmQfK4XhH2m8czQAAy27R3tsw4Qfe2x8uOO6oYLb6GlOor3GF+swURAOmUJ+RwtEJs9WvTGEYxBXqI1MQAZhCfUQKRzDMVj+TwrAIV6jvSUEkYAr1LSkcyTBb/V+KYfX7xAeusq3sLDtGH3kEGACPWIflNZfhRQAAAABJRU5ErkJggg==",data:image,"png;base64,iVBORw0KGgoAAAANSUhEUgAAACAAAAAYCAYAAACbU",80AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAIpJREFUeNrEkckNgDAMBBfRkEt0ObRBBdsGXUDgmQfK4XhH2m8czQAAy27R3tsw4Qfe2x8uOO6oYLb6GlOor3GF+swURAOmUJ+RwtEJs9WvTGEYxBXqI1MQAZhCfUQKRzDMVj+TwrAIV6jvSUEkYAr1LSkcyTBb,V+KYfX7xAeusq3sLDtGH3kEGACPWIflNZfhRQAAAABJRU5ErkJggg==,,,,,,,,,,,,,00:00.0,,
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/fonts/fontawesome-webfont.eot?v=4.6.3,https:,,www.redlobster.ca,ResourcePackages,RedLobster,assets,dist,fonts,fontawesome-webfont,eot,,,v=4.6.3,,Microsoft-IIS/8.5,,00:02.3,,
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/fonts/fontawesome-webfont.eot?,https:,,www.redlobster.ca,ResourcePackages,RedLobster,assets,dist,fonts,fontawesome-webfont,eot,,,,,,,00:01.1,,
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/fonts/fontawesome-webfont.woff2?v=4.6.3,https:,,www.redlobster.ca,ResourcePackages,RedLobster,assets,dist,fonts,fontawesome-webfont,woff2,,,v=4.6.3,,,,00:02.1,,
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/fonts/fontawesome-webfont.woff?v=4.6.3,https:,,www.redlobster.ca,ResourcePackages,RedLobster,assets,dist,fonts,fontawesome-webfont,woff,,,v=4.6.3,,,,00:01.3,,
