url,Date,Level,name,type,extra
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/mozzarella_cheese_sticks_can.jpg?sfvrsn=2,menu-items,lunch-dinner,mozzarella_cheese_sticks_can,jpg,sfvrsn=2
https://www.redlobster.ca/images/default-source/images/events/militarymonday/militarymonday_plate.png?sfvrsn=4,events,militarymonday,militarymonday_plate,png,sfvrsn=4
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/crunch-fried_fish_sandwich.jpg?sfvrsn=2,menu-items,lunch-dinner,crunch-fried_fish_sandwich,jpg,sfvrsn=2
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/bacon-cheddar-chicken-club.jpg?sfvrsn=4,menu-items,lunch-dinner,bacon-cheddar-chicken-club,jpg,sfvrsn=4
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/live_maine_lobster.jpg?sfvrsn=2,menu-items,lunch-dinner,live_maine_lobster,jpg,sfvrsn=2
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/images/HowItsCaught.jpg,dist,images,HowItsCaught,jpg,
https://www.redlobster.ca/images/default-source/images/headers/rl_desktop_cares-1.jpg?sfvrsn=0,headers,rl_desktop_cares-1.jpg?sfvrsn=0,rl_desktop_cares-1,jpg,sfvrsn=0
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/images/rl_desktop_our_story.jpg,dist,images,rl_desktop_our_story,jpg,
https://www.redlobster.ca/images/default-source/images/work-with-us/rl_desktop_careers-mgmt-1.jpg?sfvrsn=0,work-with-us,rl_desktop_careers-mgmt-1.jpg?sfvrsn=0,rl_desktop_careers-mgmt-1,jpg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/work-with-us/rl_desktop_careers-why-1.jpg?sfvrsn=0,work-with-us,rl_desktop_careers-why-1.jpg?sfvrsn=0,rl_desktop_careers-why-1,jpg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/headers/rl_desktop_sws_seafoodwstandards-modefd79ec52fd36f18be94ff4100d9e22d.jpg?sfvrsn=2,headers,rl_desktop_sws_seafoodwstandards-modefd79ec52fd36f18be94ff4100d9e22d.jpg?sfvrsn=2,rl_desktop_sws_seafoodwstandards-modefd79ec52fd36f18be94ff4100d9e22d,jpg,sfvrsn=2
https://www.redlobster.ca/images/default-source/Headers/lobsterroll_fries-amp-potatosoup_press.jpg?sfvrsn=0,lobsterroll_fries-amp-potatosoup_press.jpg?sfvrsn=0,,lobsterroll_fries-amp-potatosoup_press,jpg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/work-with-us/rl_desktop_careers-why-3.jpg?sfvrsn=0,work-with-us,rl_desktop_careers-why-3.jpg?sfvrsn=0,rl_desktop_careers-why-3,jpg,sfvrsn=0
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/images/gc-desktop-left.png,dist,images,gc-desktop-left,png,
https://www.redlobster.ca/images/default-source/images/work-with-us/rl_desktop_careers-team-1.jpg?sfvrsn=0,work-with-us,rl_desktop_careers-team-1.jpg?sfvrsn=0,rl_desktop_careers-team-1,jpg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/work-with-us/rl_desktop_careers-team-2.jpg?sfvrsn=0,work-with-us,rl_desktop_careers-team-2.jpg?sfvrsn=0,rl_desktop_careers-team-2,jpg,sfvrsn=0
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/images/rl_desktop_seafood_standards-bg.jpg,dist,images,rl_desktop_seafood_standards-bg,jpg,
https://www.redlobster.ca/images/default-source/images/social-photos/image-1.jpg?sfvrsn=2,social-photos,image-1.jpg?sfvrsn=2,image-1,jpg,sfvrsn=2
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/images/Crabfest_hero.jpg,dist,images,Crabfest_hero,jpg,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/shrimp_cocktail.jpg?sfvrsn=2,menu-items,lunch-dinner,shrimp_cocktail,jpg,sfvrsn=2
https://www.redlobster.ca/images/default-source/images/news-press/rl_hsc_news_teaer.jpg?sfvrsn=0,news-press,rl_hsc_news_teaer.jpg?sfvrsn=0,rl_hsc_news_teaer,jpg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/ultimate_feast_can.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,ultimate_feast_can,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/seafood-stuffed-mushrooms.jpg?sfvrsn=0,menu-items,seafood-stuffed-mushrooms.jpg?sfvrsn=0,seafood-stuffed-mushrooms,jpg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/menu-items/imagecomingsoon.jpg?Status=Master&sfvrsn=4&size=1125,menu-items,imagecomingsoon.jpg?Status=Master&sfvrsn=4&size=1125,imagecomingsoon,jpg,Status=Master&sfvrsn=4&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/imagecomingsoon.jpg?sfvrsn=4&size=1125,menu-items,imagecomingsoon.jpg?sfvrsn=4&size=1125,imagecomingsoon,jpg,sfvrsn=4&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/image_coming_soon.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,image_coming_soon,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/pizza_1800x614_core.jpg?sfvrsn=0&size=1125,menu-items,lunch-dinner,pizza_1800x614_core,jpg,sfvrsn=0&size=1125
