url,,,,,,,,,filename,,Server,Error,Duration,Charset,Description
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/seaport-lobster-and-shrimp.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,news-press,parmesanpeppercornpressrelease.png?sfvrsn=2,parmesanpeppercornpressrelease.png?sfvrsn=2,,,,00:02.7,utf-8,
https://www.redlobster.com/images/default-source/images/news-press/srirachashrimppressrelease.png?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,walleye_dinner.jpg?sfvrsn=2,,,,00:02.7,utf-8,
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/new!-wood-grilled-lobster-and-red-shrimp.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,wood-grilled-lobster-shrimp-and-salmon.png?sfvrsn=0,,,,00:02.9,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/lobster_pizza_usa.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,ultimate-feast7d159fc52fd36f18be94ff4100d9e22d.png?sfvrsn=0,,,,00:01.6,utf-8,
https://www.redlobster.com/images/default-source/images/news-press/parmesanpeppercornpressrelease.png?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,events,big-festival-of-shrimp,big-festival-of-shrimp-image-1.jpg?sfvrsn=0,,,,00:02.9,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/walleye_dinner.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,ultimate_feast.jpg?sfvrsn=2,,,,00:02.4,utf-8,
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/wood-grilled-lobster-shrimp-and-salmon.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,admirals_feast.jpg?sfvrsn=2,,,,00:01.5,utf-8,
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/ultimate-feast7d159fc52fd36f18be94ff4100d9e22d.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,salmon_new_orleans.jpg?sfvrsn=2,,,,00:03.1,utf-8,
https://www.redlobster.com/images/default-source/images/events/big-festival-of-shrimp/big-festival-of-shrimp-image-1.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,syw_popcornshrimp_friedshrimp_conconutshrimpbitese7a19ac52fd36f18be94ff0000d9e22d.jpg?sfvrsn=2,,,,00:02.7,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/ultimate_feast.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,lobster-lover-s-dream.png?sfvrsn=0,,,,00:01.2,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/admirals_feast.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,roasted-maritime-lobster-bake.png?sfvrsn=0,,,,00:01.7,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/salmon_new_orleans.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,wood_grilled_salmon_shrimp_linguini_alfredo.jpg?sfvrsn=2,,,,00:03.0,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/syw_popcornshrimp_friedshrimp_conconutshrimpbitese7a19ac52fd36f18be94ff0000d9e22d.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,new!-lobster-mix-and-match.png?sfvrsn=0,,,,00:02.9,utf-8,
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/lobster-lover-s-dream.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,new!-stuffed-tilapia-with-langostino-lobster.png?sfvrsn=0,,,,00:01.2,utf-8,
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/roasted-maritime-lobster-bake.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,catfish.jpg?sfvrsn=2,,,,00:01.4,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/wood_grilled_salmon_shrimp_linguini_alfredo.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,crunch_fried_fish_scampi.jpg?sfvrsn=2,,,,00:01.5,utf-8,
