url,,,,,,,,,name,type,extra
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/walleye_dinner.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,walleye_dinner,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/wood-grilled-lobster-shrimp-and-salmon.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,wood-grilled-lobster-shrimp-and-salmon,png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/ultimate-feast7d159fc52fd36f18be94ff4100d9e22d.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,ultimate-feast7d159fc52fd36f18be94ff4100d9e22d,png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/events/big-festival-of-shrimp/big-festival-of-shrimp-image-1.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,events,big-festival-of-shrimp,big-festival-of-shrimp-image-1,jpg,sfvrsn=0
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/ultimate_feast.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,ultimate_feast,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/admirals_feast.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,admirals_feast,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/salmon_new_orleans.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,salmon_new_orleans,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/syw_popcornshrimp_friedshrimp_conconutshrimpbitese7a19ac52fd36f18be94ff0000d9e22d.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,syw_popcornshrimp_friedshrimp_conconutshrimpbitese7a19ac52fd36f18be94ff0000d9e22d,jpg,sfvrsn=2
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/lobster-lover-s-dream.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,lobster-lover-s-dream,png,sfvrsn=0
https://www.redlobster.com/images/default-source/images/special-menu/lobsterfest/roasted-maritime-lobster-bake.png?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,special-menu,lobsterfest,roasted-maritime-lobster-bake,png,sfvrsn=0
